group,n,share,observed_rate,mean_predicted,observed_expected,roc_auc,approval_rate,tpr,fpr
MN,5094,0.01799834644166967,0.14782096584216725,0.1403680846606289,0.9495817041981987,0.6671977527959269,0.6115037298782882,0.5922974767596282,0.35314443676572216
IN,4597,0.016242324026767858,0.1587992168805743,0.14803301705209554,0.9322024375184701,0.6692668204087273,0.5703719817272134,0.6342465753424658,0.39100077579519005
TN,4428,0.01564520574081533,0.1596657633242999,0.17124095507840806,1.0724963919196477,0.6876928872293686,0.45754290876242093,0.7722772277227723,0.4987906476753561
MO,4378,0.015468543526036478,0.1587482868889904,0.1447205742198335,0.9116355020639296,0.6886218421407322,0.5851987208771129,0.6287769784172662,0.3744230247081184
NV,4250,0.01501628825620261,0.18235294117647058,0.17727248567315837,0.9721394375624814,0.6507625899280576,0.416,0.7303225806451613,0.5513669064748201
CT,4221,0.014913824171630875,0.1267472162994551,0.12213069574000746,0.9635769471375168,0.6650630574895665,0.7093105899076049,0.47289719626168225,0.2642430819316332
WI,3827,0.013521725919173503,0.11863078129082832,0.1325746218679664,1.117539819138122,0.6853720462182844,0.651685393258427,0.5726872246696035,0.3181144381855915
OR,3399,0.012009497360666511,0.10297146219476316,0.12915699967111885,1.2542989768060941,0.6890249730590826,0.6672550750220653,0.5857142857142857,0.3037061331584126
AL,3373,0.011917633008981507,0.17313963830418025,0.15812527595121262,0.9132817736017811,0.669837350255652,0.5123035873109991,0.696917808219178,0.4438866977411258
LA,3294,0.011638506709630918,0.17729204614450517,0.13180967170283853,0.7434607167622433,0.6643848253551029,0.6587735276259866,0.5291095890410958,0.3007380073800738
SC,3182,0.011242783348526283,0.11627906976744186,0.1164754191977037,1.0016886051002518,0.6891036484564224,0.7426147077309868,0.4540540540540541,0.23150782361308678
KY,2607,0.00921116787856946,0.1549673954737246,0.1389505283377804,0.896643632120281,0.6691089558343034,0.6210203298810894,0.5717821782178217,0.3436223331820245
OK,2596,0.009172302191318113,0.18489984591679506,0.1524979938492722,0.8247599834014805,0.6581669423440454,0.5338983050847458,0.68125,0.417296786389414
KS,2413,0.008525718485227506,0.12018234562784914,0.11222432815320633,0.9337838063230582,0.6699498107752531,0.7567343555739743,0.40344827586206894,0.2213848327837965
AR,2037,0.0071972186300905214,0.19783996072655866,0.15719397434218685,0.7945511804839569,0.6215258268008298,0.5095729013254786,0.6054590570719603,0.4620563035495716
UT,1802,0.006366906220629907,0.13485016648168702,0.13068951490967987,0.9691461146800128,0.6699820767242903,0.6642619311875694,0.5102880658436214,0.30853110968569597
MS,1718,0.0060701136998014315,0.18975552968568102,0.13501264876397004,0.7115083760015354,0.6603906635639236,0.639697322467986,0.549079754601227,0.3160919540229885
NM,1588,0.00561079194137641,0.1580604534005038,0.16029275461420756,1.0141230849695682,0.6477306927860733,0.491183879093199,0.6772908366533864,0.47718773373223633
HI,1401,0.004950075258103496,0.13704496788008566,0.14603933817216544,1.0656307957250197,0.6570469740832645,0.5531763026409707,0.640625,0.4160463192721257
NH,1384,0.0048900101050786855,0.09320809248554913,0.09784080451643037,1.049702894966974,0.6748880447203434,0.8395953757225434,0.32558139534883723,0.14342629482071714
RI,1228,0.00433882399496866,0.13762214983713356,0.13215501915372188,0.9602743403595886,0.6617384939459465,0.6587947882736156,0.5562130177514792,0.3068932955618508
WV,1182,0.004176294757372114,0.1218274111675127,0.09676682806607989,0.7942943803757391,0.6799199850139156,0.8468697123519459,0.3263888888888889,0.12909441233140656
DE,800,0.002826595436461668,0.14375,0.1223163113314253,0.8508960788273066,0.6793145033322756,0.70375,0.5043478260869565,0.2613138686131387
MT,796,0.0028124624592793593,0.13442211055276382,0.11047073857133433,0.8218197000260011,0.615262536793131,0.7776381909547738,0.3364485981308411,0.204644412191582
NE,754,0.002664066198865122,0.19230769230769232,0.1364860632148226,0.7097275287170774,0.6905045014438592,0.6392572944297082,0.5793103448275863,0.30870279146141216
DC,716,0.002529802915633193,0.11173184357541899,0.08052788850090468,0.720724602083097,0.7216981132075473,0.9120111731843575,0.2125,0.07232704402515723
AK,650,0.002296608792125105,0.16307692307692306,0.1253674619181502,0.7687627381773362,0.6655452275249722,0.6953846153846154,0.4811320754716981,0.2702205882352941
WY,595,0.0021022803558683654,0.12436974789915967,0.11816788625480201,0.9501336800217188,0.6632256056440318,0.7210084033613445,0.4864864864864865,0.2495201535508637
VT,588,0.002077547645799326,0.0935374149659864,0.12171759080027174,1.3012716980101777,0.6461538461538462,0.7193877551020408,0.45454545454545453,0.2626641651031895
SD,550,0.0019432843625673967,0.17636363636363636,0.12702274103297828,0.7202320367849284,0.6877176213559091,0.7109090909090909,0.4845360824742268,0.24724061810154527
ME,334,0.0011801035947227464,0.10479041916167664,0.13364684504242816,1.2753727498334573,0.6906832298136646,0.6197604790419161,0.5714285714285714,0.35785953177257523
ND,311,0.0010988389759244734,0.15755627009646303,0.1335030061486525,0.8473354063720596,0.6797008879887833,0.6527331189710611,0.5714285714285714,0.3053435114503817
