condition,policy,n_episodes,mean_reward,std_reward,min_reward,p05_reward,approval_rate,default_rate_of_book,capital_deployed,return_on_capital,revenue,losses,costs,review_rate
budget=0.60,risk_band,12.0,94775.25338540587,51641.869994437184,-5564.605875953206,21153.10060720526,0.7250694444444444,0.13038533617794487,8425282.291666666,0.011248930418743317,980956.1246830594,279639.92181848694,606540.9494791667,0.0
budget=0.60,approve_all,12.0,74926.40891475782,46191.023411705544,-2075.4608801295362,12748.493350494049,0.5454861111111112,0.1469352132352168,8425041.666666666,0.008893324240894297,1045617.2976980967,396488.5346166722,574202.3541666666,0.0
budget=0.60,thompson,12.0,45093.84437206522,33902.9888853228,-10208.664905142345,-3633.1876228664287,0.39958333333333335,0.14142755820981892,4834218.75,0.009304638960135416,606314.9317637392,216162.72801667385,345058.35937500006,0.0
budget=0.35,expected_profit(lambda=0.0317),12.0,119168.50265316108,78790.171107874,-15201.96019897476,9893.773338844283,0.20104166666666667,0.19052654824661,4913314.583333333,0.02425416425895208,725528.3047977914,292570.02818629704,313789.77395833336,0.0
budget=0.35,fixed_threshold@0.150,12.0,85998.27744265221,31453.5972140398,34269.380132130354,43270.47561787984,0.3051388888888889,0.09826592587782564,4914487.5,0.017499058928960774,557369.9622009873,138778.14100833514,332593.54375,0.0
budget=0.35,expected_profit,12.0,80766.28973941824,45620.975025083746,-2593.907944068398,9538.170245504807,0.2077083333333333,0.1571914364870967,4914259.375,0.016434617802617634,638325.7619109388,242516.31748402046,315043.15468750003,0.0
budget=0.35,risk_band,12.0,63934.57697009359,27880.574168998188,5645.769943564316,18984.98597628366,0.42416666666666675,0.12732750606128615,4914735.416666667,0.01300872833705985,574741.8949367878,156774.76692502745,354032.55104166665,0.0
budget=0.35,linucb@alpha=1,12.0,63890.84645739683,42453.7823950366,4516.586138586426,5885.43339808607,0.20034722222222223,0.13958954817102448,4913932.291666667,0.013001146122179301,596083.9626709484,218493.44173438475,313699.6744791667,0.0
budget=0.35,budget_aware_q(greedy),12.0,56347.2348595523,31933.16531041344,11366.836480879756,14964.061343168523,0.26875,0.1517959777148441,4914185.416666667,0.01146654929484652,631883.1179065999,249509.4070053808,326026.4760416667,0.0
budget=0.35,thompson,12.0,46445.167866584925,24025.378819835794,6104.323265173185,11091.295210109643,0.373125,0.13921896578001813,4913608.333333333,0.00945175336079218,609254.0659582446,218027.5272583264,344781.37083333335,0.0
budget=0.35,approve_all,12.0,43449.74744678629,38307.38396548949,-18953.212314419907,-9779.802129848558,0.31979166666666664,0.14201551645024954,4914408.333333333,0.008841151413308062,606244.9013467924,227568.58306667267,335226.57083333336,0.0
budget=0.20,expected_profit(lambda=0.0500),12.0,61771.06862164007,49239.43823809491,-15484.128415055753,-5779.271511544006,0.11159722222222224,0.21012704804446802,2806597.9166666665,0.022011673079089775,431180.72752113244,190749.37660782575,178660.28229166663,0.0
budget=0.20,fixed_threshold@0.150,12.0,47703.277065704264,17917.369494448165,8593.278168649136,18734.153798548374,0.17597222222222222,0.09558550915309362,2808135.4166666665,0.016987404747464227,316880.8601823742,78842.93207500326,190334.65104166666,0.0
budget=0.20,expected_profit,12.0,46934.29337651494,37150.59084595019,-4404.801418034918,-2480.1445465081288,0.11986111111111108,0.15879906734131827,2807787.5,0.0167175704877049,365232.9552869175,138083.66816040257,180214.99375000002,0.0
budget=0.20,linucb@alpha=1,12.0,46218.520375332155,20013.79756691337,19012.565028920777,24131.305193730368,0.2368055555555556,0.13588599660592166,2807710.4166666665,0.01646092186719162,362523.30620695365,115044.14728995482,201260.63854166667,0.0
budget=0.20,risk_band,12.0,37362.77494664315,12359.902621848058,11379.533586246362,17270.86902435367,0.2421527777777778,0.1216268750182667,2808279.1666666665,0.013304551193528372,326516.67144250614,86898.62357919628,202255.2729166667,0.0
budget=0.20,thompson,12.0,35437.177246498846,51168.13232363307,-69811.06576365232,-46872.664371937564,0.11131944444444443,0.13577179368224918,2808192.7083333335,0.01261924928747605,338217.1004106814,124079.5351433492,178700.38802083334,0.0
budget=0.20,budget_aware_q(greedy),12.0,33810.98952781775,41074.45523224422,-50651.027391879434,-27274.922063101192,0.15861111111111112,0.15131384511814264,2807560.4166666665,0.012043220159982784,355398.44488930615,134410.29181982178,187177.1635416667,0.0
budget=0.20,approve_all,12.0,20617.95883159929,37559.008922412526,-35536.27446800936,-28058.13885889978,0.18569444444444447,0.1431884757641141,2808145.8333333335,0.007342040566001329,343664.04938160087,130960.85096666827,192085.23958333334,0.0
